sample_id,true_label,closed_pred,open_pred,unknown_flag,raw_score,rank_score,is_rejected
0,2,2,0,0,0.4502654373645782,0.9978187106156085,1
1,0,0,0,0,0.5377807021141052,0.2981095492001939,0
2,0,0,0,0,0.5656017065048218,0.4752787203102278,0
3,0,0,0,0,0.5534569025039673,0.4105671352399418,0
4,0,0,0,0,0.3802771866321563,0.737275811924382,0
5,0,0,0,0,0.424786239862442,0.8914202617547261,0
6,0,0,0,0,0.4154573380947113,0.1793504604944256,0
7,0,0,0,0,0.4062533974647522,0.3492486669898206,0
8,0,0,0,0,0.422316700220108,0.939166262724188,0
9,0,0,0,0,0.4771472811698913,0.5237518177411536,0
10,0,0,0,0,0.4291829764842987,0.3523994183228308,0
11,0,0,0,0,0.4279053807258606,0.0419292292777508,0
12,0,0,0,0,0.3247325718402862,0.7544837615123606,0
13,3,0,0,0,0.3598422408103943,0.8468250121182743,0
14,0,0,0,0,0.4615225493907928,0.475763451284537,0
15,0,0,0,0,0.6063544154167175,0.86597188560349,0
16,0,0,0,0,0.3797753751277923,0.6560833737275812,0
17,0,0,0,0,0.5448668599128723,0.3107125545322346,0
18,0,0,0,0,0.52894526720047,0.1652932622394571,0
19,2,2,0,0,0.4193608164787292,0.079738245273873,0
20,0,0,0,0,0.4912128448486328,0.0954920019389239,0
21,0,0,0,0,0.4713006913661957,0.7564226854095977,0
22,0,0,0,0,0.3379049599170685,0.9890935530780416,1
23,0,0,0,0,0.5174840092658997,0.0894328647600581,0
24,0,0,0,0,0.5198954343795776,0.1003393116820164,0
25,0,0,0,0,0.4843466281890869,0.6943771206980126,0
26,0,0,0,0,0.4057778418064117,0.2406689287445468,0
27,0,0,0,0,0.3253191113471985,0.767329132331556,0
28,1,0,0,0,0.3592059314250946,0.4105671352399418,0
29,0,0,0,0,0.376919537782669,0.7702375181774115,0
30,3,3,0,0,0.1528736799955368,0.0206010664081434,0
31,0,0,0,0,0.2972920835018158,0.883664566165778,0
32,0,0,0,0,0.4252932965755462,0.6049442559379544,0
33,0,0,0,0,0.555269718170166,0.7171594764905478,0
34,0,0,0,0,0.5376394391059875,0.2321861366941347,0
35,0,0,0,0,0.5105424523353577,0.769268056228793,0
36,3,0,0,0,0.3173637986183166,0.8257392147358216,0
37,1,0,0,0,0.1746580451726913,0.8301017935046049,0
38,0,0,0,0,0.4738495349884033,0.4173533688802714,0
39,0,0,0,0,0.444570392370224,0.5038778477944741,0
40,0,0,0,0,0.5597954392433167,0.633301017935046,0
41,2,2,0,0,0.413421630859375,0.0736791080950072,0
42,0,0,0,0,0.3235889077186584,0.7314590402326708,0
43,2,2,0,0,0.479234516620636,0.9854580707707222,1
44,0,0,0,0,0.4001200795173645,0.8683955404750363,0
45,0,0,0,0,0.5178893208503723,0.7043141056713524,0
46,0,0,0,0,0.0448666736483573,0.6563257392147358,0
47,0,0,0,0,0.3708360195159912,0.7496364517692681,0
48,1,0,0,0,0.3875044882297516,0.7770237518177412,0
49,0,0,0,0,0.4654667377471924,0.9854580707707222,1
50,0,0,0,0,0.4861400127410888,0.6686863790596219,0
51,0,0,0,0,0.3996240794658661,0.3720310227823558,0
52,0,0,0,0,0.5564373135566711,0.4018419777023752,0
53,0,0,0,0,0.4448734223842621,0.3390693165293262,0
54,1,0,0,0,0.3800462484359741,0.7816286960736791,0
55,3,0,0,0,0.3979856073856354,0.8865729520116336,0
56,0,0,0,0,0.4476515054702759,0.6500242365487154,0
57,0,0,0,0,0.4246647655963897,0.862094037809016,0
58,2,2,0,0,0.4652224481105804,0.8795443528841493,0
59,0,0,0,0,0.5119476318359375,0.247697527872031,0
60,1,0,0,0,0.4254532158374786,0.9265632573921474,0
61,0,0,0,0,0.4831627607345581,0.0761027629665535,0
62,0,0,0,0,0.4123196005821228,0.3841492971400873,0
63,0,0,0,0,0.370171308517456,0.9641299079011147,1
64,2,2,0,0,0.4563124179840088,0.9917595734367426,1
65,3,3,0,0,0.0903872027993202,0.9747939893359184,1
66,0,0,0,0,0.5528867244720459,0.4498303441589917,0
67,0,0,0,0,0.5427893400192261,0.2714493456131847,0
68,0,0,0,0,0.4849764406681061,0.1948618516723218,0
69,1,0,0,0,0.3899633884429931,0.3938439166262724,0
70,0,0,0,0,0.4117589592933655,0.1311197285506543,0
71,3,3,0,0,0.0221945401281118,0.6151236063984489,0
72,3,0,0,0,0.3345195651054382,0.943044110518662,0
73,0,0,0,0,0.451746791601181,0.2656325739214736,0
74,0,0,0,0,0.4695267379283905,0.3623364032961706,0
75,0,0,0,0,0.3294526040554046,0.9386815317498788,0
76,0,0,0,0,0.5206816792488098,0.9088705768298594,0
77,0,0,0,0,0.3780421614646911,0.5632573921473583,0
78,0,0,0,0,0.5559490323066711,0.1514784294716432,0
79,0,0,0,0,0.4803360104560852,0.6068831798351915,0
80,1,0,0,0,0.385735273361206,0.812409112942317,0
81,2,2,0,0,0.4203823506832123,0.3928744546776539,0
82,2,3,0,0,0.3429164290428161,0.995395055744062,1
83,3,3,0,0,0.0325328856706619,0.0162384876393601,0
84,2,2,0,0,0.4231360256671905,0.1958313136209404,0
85,0,0,0,0,0.5644857883453369,0.3514299563742123,0
86,0,0,0,0,0.4745731949806213,0.2023751817741153,0
87,0,0,0,0,0.4148114621639251,0.9524963645176928,1
88,0,0,0,0,0.4867625534534454,0.1284537081919534,0
89,0,0,0,0,0.4451062679290771,0.3540959767329132,0
90,0,0,0,0,0.3656153678894043,0.6614154144449831,0
91,0,0,0,0,0.3105687499046325,0.948376151236064,0
92,0,0,0,0,0.4746407270431518,0.0332040717401842,0
93,0,0,0,0,0.5180710554122925,0.9265632573921474,0
94,0,0,0,0,0.382924348115921,0.6635967038293747,0
95,0,0,0,0,0.3885120153427124,0.1652932622394571,0
96,0,0,0,0,0.3311798274517059,0.9081434803683957,0
